"Source:","C:\Users\carlo\Documents\GitHub\SmartBike2.0\SMARTBIKE2_Kicad\SmartBike2\SB2_LIGTHS\SB2_LIGTHS.kicad_sch"
"Date:","14/11/2023 3:35:43 p. m."
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","MF","MP","Package","Price","SnapEDA_Link"
"1","1","C1","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"2","1","C2","100u","Device:C_Polarized_Small_US","Capacitor_SMD:CP_Elec_6.3x5.4","~","","","","","","","","",""
"3","2","C3, C4","0.1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"4","1","D1","Power LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","","","","","",""
"5","1","D2","Detection LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","","","","","",""
"6","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2","~","","","","","","","","",""
"7","2","J1, JP1","Conn_01x02","Power_Conn_01x02:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","","","","","",""
"8","1","J2","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_RJHSE538X","~","","","","","","","","",""
"9","4","Q1, Q3, Q4, Q5","SI2302","SI2302:SI2302","Package_TO_SOT_SMD:SOT-23","","","Not in stock","https://www.snapeda.com/parts/SI2302/Micro+Commercial+Components/view-part/?ref=eda","N-Channel 20V 2.6A (Ta) 710mW (Ta) Surface Mount SOT-23-3 (TO-236)","Micro Commercial Components (MCC)","SI2302","TO-236-3 Micro Commercial Components (MCC)","None","https://www.snapeda.com/parts/SI2302/Micro+Commercial+Components/view-part/?ref=snap"
"10","1","Q2","FDN340P","Transistor_FET:FDN340P","Package_TO_SOT_SMD:SuperSOT-3","https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF","","","","","","","","",""
"11","5","R1, R6, R8, R9, R13","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"12","3","R2, R3, R10","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"13","2","R4, R11","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"14","1","R5","220k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"15","1","R7","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"16","1","R12","LDR07","Sensor_Optical:LDR07","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","http://www.tme.eu/de/Document/f2e3ad76a925811312d226c31da4cd7e/LDR07.pdf","","","","","","","","",""
"17","1","RV1","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","~","","","","","","","","",""
"18","1","U1","NA555D","Timer:NA555D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","","","","","","","","",""
"19","1","U2","LM358","Amplifier_Operational:LM358","Package_SO:SO-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","","","","","","","",""
